SCLK,LMST,LTST,HORIZONTAL_WIND_SPEED,HORIZONTAL_WIND_SPEED_UNCERTAINTY,VERTICAL_WIND_SPEED,VERTICAL_WIND_SPEED_UNCERTAINTY,WIND_DIRECTION,WIND_DIRECTION_UNCERTAINTY,BOTH_BOOMS_USED_FOR_RETRIEVAL,ROVER_STILL
672620361,00064M12:03:50.558,0064 11:48:53,5.57,,,,86.23,,,1
672620361.5,00064M12:03:51.045,0064 11:48:53,8.78,,,,101.23,,,1
672620362,00064M12:03:51.532,0064 11:48:54,4.27,,,,86.23,,,1
672620362.5,00064M12:03:52.018,0064 11:48:54,6.59,,,,71.23,,,1
672620363,00064M12:03:52.505,0064 11:48:55,6.49,,,,76.23,,,1
672620363.5,00064M12:03:52.991,0064 11:48:55,4.37,,,,76.23,,,1
672620364,00064M12:03:53.478,0064 11:48:56,4.84,,,,86.23,,,1
672620364.5,00064M12:03:53.965,0064 11:48:56,4.86,,,,86.23,,,1
672620365,00064M12:03:54.451,0064 11:48:57,4.83,,,,81.23,,,1
672620365.5,00064M12:03:54.938,0064 11:48:57,4.45,,,,91.23,,,1
672620366,00064M12:03:55.425,0064 11:48:58,4.31,,,,96.23,,,1
672620366.5,00064M12:03:55.911,0064 11:48:58,4.22,,,,116.23,,,1
672620367,00064M12:03:56.398,0064 11:48:59,4.98,,,,121.23,,,1
672620367.5,00064M12:03:56.884,0064 11:48:59,4.65,,,,121.23,,,1
672620368,00064M12:03:57.371,0064 11:49:00,4.47,,,,126.23,,,1
672620368.5,00064M12:03:57.858,0064 11:49:00,4.70,,,,126.23,,,1
672620369,00064M12:03:58.344,0064 11:49:01,3.73,,,,121.23,,,1
672620369.5,00064M12:03:58.831,0064 11:49:01,4.18,,,,131.23,,,1
672620370,00064M12:03:59.318,0064 11:49:01,3.41,,,,126.23,,,1
672620370.5,00064M12:03:59.804,0064 11:49:02,2.10,,,,126.23,,,1
672620371,00064M12:04:00.291,0064 11:49:02,1.93,,,,116.23,,,1
672620371.5,00064M12:04:00.777,0064 11:49:03,2.39,,,,66.23,,,1
672620372,00064M12:04:01.264,0064 11:49:03,3.38,,,,66.23,,,1
672620372.5,00064M12:04:01.751,0064 11:49:04,3.42,,,,76.23,,,1
672620373,00064M12:04:02.237,0064 11:49:04,3.64,,,,76.23,,,1
672620373.5,00064M12:04:02.724,0064 11:49:05,3.61,,,,76.23,,,1
672620374,00064M12:04:03.211,0064 11:49:05,3.31,,,,71.23,,,1
672620374.5,00064M12:04:03.697,0064 11:49:06,2.87,,,,76.23,,,1
672620375,00064M12:04:04.184,0064 11:49:06,3.02,,,,71.23,,,1
672620375.5,00064M12:04:04.670,0064 11:49:07,3.18,,,,76.23,,,1
672620376,00064M12:04:05.157,0064 11:49:07,3.25,,,,71.23,,,1
672620376.5,00064M12:04:05.644,0064 11:49:08,3.48,,,,66.23,,,1
672620377,00064M12:04:06.130,0064 11:49:08,3.56,,,,66.23,,,1
672620377.5,00064M12:04:06.617,0064 11:49:09,4.06,,,,56.23,,,1
672620378,00064M12:04:07.104,0064 11:49:09,3.78,,,,56.23,,,1
672620378.5,00064M12:04:07.590,0064 11:49:10,5.67,,,,51.23,,,1
672620379,00064M12:04:08.077,0064 11:49:10,4.10,,,,66.23,,,1
672620379.5,00064M12:04:08.563,0064 11:49:11,3.37,,,,66.23,,,1
672620380,00064M12:04:09.050,0064 11:49:11,5.65,,,,61.23,,,1
672620380.5,00064M12:04:09.537,0064 11:49:12,5.74,,,,61.23,,,1
672620381,00064M12:04:10.023,0064 11:49:12,6.34,,,,61.23,,,1
672620381.5,00064M12:04:10.510,0064 11:49:13,6.20,,,,61.23,,,1
672620382,00064M12:04:10.997,0064 11:49:13,6.06,,,,61.23,,,1
672620382.5,00064M12:04:11.483,0064 11:49:14,5.98,,,,61.23,,,1
672620383,00064M12:04:11.970,0064 11:49:14,6.50,,,,61.23,,,1
672620383.5,00064M12:04:12.456,0064 11:49:15,5.84,,,,56.23,,,1
672620384,00064M12:04:12.943,0064 11:49:15,6.11,,,,61.23,,,1
672620384.5,00064M12:04:13.430,0064 11:49:16,6.27,,,,61.23,,,1
672620385,00064M12:04:13.916,0064 11:49:16,4.66,,,,61.23,,,1
672620385.5,00064M12:04:14.403,0064 11:49:17,6.20,,,,61.23,,,1
672620386,00064M12:04:14.890,0064 11:49:17,6.61,,,,61.23,,,1
672620386.5,00064M12:04:15.376,0064 11:49:18,8.93,,,,66.23,,,1
672620387,00064M12:04:15.863,0064 11:49:18,8.67,,,,66.23,,,1
672620387.5,00064M12:04:16.349,0064 11:49:19,8.66,,,,66.23,,,1
672620388,00064M12:04:16.836,0064 11:49:19,8.15,,,,66.23,,,1
672620388.5,00064M12:04:17.323,0064 11:49:19,6.40,,,,66.23,,,1
672620389,00064M12:04:17.809,0064 11:49:20,6.56,,,,61.23,,,1
672620389.5,00064M12:04:18.296,0064 11:49:20,7.88,,,,61.23,,,1
672620390,00064M12:04:18.783,0064 11:49:21,7.93,,,,61.23,,,1
672620390.5,00064M12:04:19.269,0064 11:49:21,7.64,,,,61.23,,,1
672620391,00064M12:04:19.756,0064 11:49:22,7.49,,,,61.23,,,1
672620391.5,00064M12:04:20.242,0064 11:49:22,6.94,,,,61.23,,,1
672620392,00064M12:04:20.729,0064 11:49:23,6.62,,,,61.23,,,1
672620392.5,00064M12:04:21.216,0064 11:49:23,6.23,,,,61.23,,,1
672620393,00064M12:04:21.702,0064 11:49:24,6.36,,,,66.23,,,1
672620393.5,00064M12:04:22.189,0064 11:49:24,5.97,,,,66.23,,,1
672620394,00064M12:04:22.676,0064 11:49:25,4.62,,,,66.23,,,1
672620394.5,00064M12:04:23.162,0064 11:49:25,5.68,,,,66.23,,,1
672620395,00064M12:04:23.649,0064 11:49:26,5.48,,,,66.23,,,1
672620395.5,00064M12:04:24.135,0064 11:49:26,6.40,,,,66.23,,,1
672620396,00064M12:04:24.622,0064 11:49:27,6.33,,,,66.23,,,1
672620396.5,00064M12:04:25.109,0064 11:49:27,6.16,,,,66.23,,,1
672620397,00064M12:04:25.595,0064 11:49:28,6.05,,,,66.23,,,1
672620397.5,00064M12:04:26.082,0064 11:49:28,5.28,,,,71.23,,,1
672620398,00064M12:04:26.569,0064 11:49:29,4.62,,,,76.23,,,1
672620398.5,00064M12:04:27.055,0064 11:49:29,5.44,,,,71.23,,,1
672620399,00064M12:04:27.542,0064 11:49:30,5.84,,,,66.23,,,1
672620399.5,00064M12:04:28.028,0064 11:49:30,5.66,,,,66.23,,,1
672620400,00064M12:04:28.515,0064 11:49:31,5.38,,,,66.23,,,1
672620400.5,00064M12:04:29.002,0064 11:49:31,3.84,,,,76.23,,,1
672620401,00064M12:04:29.488,0064 11:49:32,4.36,,,,66.23,,,1
672620401.5,00064M12:04:29.975,0064 11:49:32,4.12,,,,66.23,,,1
672620402,00064M12:04:30.462,0064 11:49:33,4.03,,,,76.23,,,1
672620402.5,00064M12:04:30.948,0064 11:49:33,4.18,,,,71.23,,,1
672620403,00064M12:04:31.435,0064 11:49:34,3.98,,,,71.23,,,1
672620403.5,00064M12:04:31.921,0064 11:49:34,3.75,,,,76.23,,,1
672620404,00064M12:04:32.408,0064 11:49:35,3.74,,,,71.23,,,1
672620404.5,00064M12:04:32.895,0064 11:49:35,3.72,,,,66.23,,,1
672620405,00064M12:04:33.381,0064 11:49:36,4.03,,,,56.23,,,1
672620405.5,00064M12:04:33.868,0064 11:49:36,4.08,,,,66.23,,,1
672620406,00064M12:04:34.355,0064 11:49:37,4.38,,,,66.23,,,1
672620406.5,00064M12:04:34.841,0064 11:49:37,5.46,,,,66.23,,,1
672620407,00064M12:04:35.328,0064 11:49:38,3.86,,,,76.23,,,1
672620407.5,00064M12:04:35.814,0064 11:49:38,3.98,,,,71.23,,,1
672620408,00064M12:04:36.301,0064 11:49:38,3.58,,,,66.23,,,1
672620408.5,00064M12:04:36.788,0064 11:49:39,2.82,,,,51.23,,,1
672620409,00064M12:04:37.274,0064 11:49:39,3.95,,,,71.23,,,1
672620409.5,00064M12:04:37.761,0064 11:49:40,3.89,,,,76.23,,,1
672620410,00064M12:04:38.248,0064 11:49:40,3.98,,,,76.23,,,1
672620410.5,00064M12:04:38.734,0064 11:49:41,4.24,,,,66.23,,,1
672620411,00064M12:04:39.221,0064 11:49:41,5.44,,,,61.23,,,1
672620411.5,00064M12:04:39.707,0064 11:49:42,3.79,,,,71.23,,,1
672620412,00064M12:04:40.194,0064 11:49:42,4.50,,,,71.23,,,1
672620412.5,00064M12:04:40.681,0064 11:49:43,6.06,,,,66.23,,,1
672620413,00064M12:04:41.167,0064 11:49:43,5.90,,,,66.23,,,1
672620413.5,00064M12:04:41.654,0064 11:49:44,4.41,,,,61.23,,,1
672620414,00064M12:04:42.141,0064 11:49:44,3.43,,,,66.23,,,1
672620414.5,00064M12:04:42.627,0064 11:49:45,3.62,,,,76.23,,,1
672620415,00064M12:04:43.114,0064 11:49:45,4.50,,,,61.23,,,1
672620415.5,00064M12:04:43.600,0064 11:49:46,5.72,,,,66.23,,,1
672620416,00064M12:04:44.087,0064 11:49:46,5.95,,,,61.23,,,1
672620416.5,00064M12:04:44.574,0064 11:49:47,5.27,,,,66.23,,,1
672620417,00064M12:04:45.060,0064 11:49:47,5.65,,,,61.23,,,1
672620417.5,00064M12:04:45.547,0064 11:49:48,4.45,,,,61.23,,,1
672620418,00064M12:04:46.034,0064 11:49:48,5.56,,,,61.23,,,1
672620418.5,00064M12:04:46.520,0064 11:49:49,4.08,,,,76.23,,,1
672620419,00064M12:04:47.007,0064 11:49:49,3.90,,,,76.23,,,1
672620419.5,00064M12:04:47.494,0064 11:49:50,3.70,,,,76.23,,,1
672620420,00064M12:04:47.980,0064 11:49:50,6.62,,,,71.23,,,1
672620420.5,00064M12:04:48.467,0064 11:49:51,6.81,,,,71.23,,,1
672620421,00064M12:04:48.953,0064 11:49:51,6.86,,,,71.23,,,1
672620421.5,00064M12:04:49.440,0064 11:49:52,7.09,,,,71.23,,,1
672620422,00064M12:04:49.927,0064 11:49:52,6.80,,,,71.23,,,1
672620422.5,00064M12:04:50.413,0064 11:49:53,6.90,,,,71.23,,,1
672620423,00064M12:04:50.900,0064 11:49:53,6.59,,,,71.23,,,1
672620423.5,00064M12:04:51.387,0064 11:49:54,6.42,,,,71.23,,,1
672620424,00064M12:04:51.873,0064 11:49:54,6.51,,,,76.23,,,1
672620424.5,00064M12:04:52.360,0064 11:49:55,4.98,,,,76.23,,,1
672620425,00064M12:04:52.846,0064 11:49:55,6.04,,,,71.23,,,1
672620425.5,00064M12:04:53.333,0064 11:49:56,5.00,,,,81.23,,,1
672620426,00064M12:04:53.820,0064 11:49:56,6.52,,,,66.23,,,1
